ogc_fid,id,cd_mun,nm_mun,sigla_uf,area_km2,mean,min,max,sum,std,median
1,1.0,3500105,Adamantina,SP,411.987,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,3500204,Adolfo,SP,211.055,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,3500303,AguaÃ­,SP,474.554,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,3500402,Ãguas da Prata,SP,142.673,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,3500501,Ãguas de LindÃ³ia,SP,60.126,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,3500550,Ãguas de Santa BÃ¡rbara,SP,404.463,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,3500600,Ãguas de SÃ£o Pedro,SP,3.612,,,,,,
8,8.0,3500709,Agudos,SP,966.708,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,3500758,Alambari,SP,159.6,0.0,0.0,0.0,0.0,0.0,0.0
10,10.0,3500808,Alfredo Marcondes,SP,118.915,0.0,0.0,0.0,0.0,0.0,0.0
11,11.0,3500907,Altair,SP,313.007,0.0,0.0,0.0,0.0,0.0,0.0
12,12.0,3501004,AltinÃ³polis,SP,928.956,0.0,0.0,0.0,0.0,0.0,0.0
13,13.0,3501103,Alto Alegre,SP,318.574,0.0,0.0,0.0,0.0,0.0,0.0
14,14.0,3501152,AlumÃ­nio,SP,83.619,0.0,0.0,0.0,0.0,0.0,0.0
15,15.0,3501202,Ãlvares Florence,SP,362.411,0.0,0.0,0.0,0.0,0.0,0.0
16,16.0,3501301,Ãlvares Machado,SP,347.647,0.0,0.0,0.0,0.0,0.0,0.0
17,17.0,3501400,Ãlvaro de Carvalho,SP,153.662,0.0,0.0,0.0,0.0,0.0,0.0
18,46.0,3503950,AspÃ¡sia,SP,69.373,0.0,0.0,0.0,0.0,0.0,0.0
19,47.0,3504008,Assis,SP,460.609,0.0,0.0,0.0,0.0,0.0,0.0
20,48.0,3504107,Atibaia,SP,478.521,0.0,0.0,0.0,0.0,0.0,0.0
21,49.0,3504206,Auriflama,SP,434.498,0.0,0.0,0.0,0.0,0.0,0.0
22,18.0,3501509,AlvinlÃ¢ndia,SP,84.879,0.0,0.0,0.0,0.0,0.0,0.0
23,19.0,3501608,Americana,SP,133.912,0.0,0.0,0.0,0.0,0.0,0.0
24,50.0,3504305,AvaÃ­,SP,540.689,0.0,0.0,0.0,0.0,0.0,0.0
25,51.0,3504404,Avanhandava,SP,338.37,0.0,0.0,0.0,0.0,0.0,0.0
26,52.0,3504503,AvarÃ©,SP,1213.055,0.0,0.0,0.0,0.0,0.0,0.0
27,53.0,3504602,Bady Bassitt,SP,110.372,0.0,0.0,0.0,0.0,0.0,0.0
28,20.0,3501707,AmÃ©rico Brasiliense,SP,122.958,0.0,0.0,0.0,0.0,0.0,0.0
29,21.0,3501806,AmÃ©rico de Campos,SP,252.876,0.0,0.0,0.0,0.0,0.0,0.0
30,22.0,3501905,Amparo,SP,445.323,0.0,0.0,0.0,0.0,0.0,0.0
31,23.0,3502002,AnalÃ¢ndia,SP,325.953,0.0,0.0,0.0,0.0,0.0,0.0
32,24.0,3502101,Andradina,SP,964.226,0.0,0.0,0.0,0.0,0.0,0.0
33,25.0,3502200,Angatuba,SP,1027.288,0.0,0.0,0.0,0.0,0.0,0.0
34,26.0,3502309,Anhembi,SP,736.557,0.0,0.0,0.0,0.0,0.0,0.0
35,27.0,3502408,Anhumas,SP,320.84,0.0,0.0,0.0,0.0,0.0,0.0
36,28.0,3502507,Aparecida,SP,120.89,0.0,0.0,0.0,0.0,0.0,0.0
37,29.0,3502606,Aparecida d'Oeste,SP,179.004,0.0,0.0,0.0,0.0,0.0,0.0
38,30.0,3502705,ApiaÃ­,SP,974.322,0.0,0.0,0.0,0.0,0.0,0.0
39,31.0,3502754,AraÃ§ariguama,SP,145.204,0.0,0.0,0.0,0.0,0.0,0.0
40,32.0,3502804,AraÃ§atuba,SP,1167.126,0.0,0.0,0.0,0.0,0.0,0.0
41,33.0,3502903,AraÃ§oiaba da Serra,SP,255.305,0.0,0.0,0.0,0.0,0.0,0.0
42,34.0,3503000,Aramina,SP,202.829,0.0,0.0,0.0,0.0,0.0,0.0
43,35.0,3503109,Arandu,SP,285.908,0.0,0.0,0.0,0.0,0.0,0.0
44,36.0,3503158,ArapeÃ­,SP,156.903,0.0009765625,0.0,0.0205078125,0.0205078125,0.004367320268554277,0.0
45,37.0,3503208,Araraquara,SP,1003.625,0.0,0.0,0.0,0.0,0.0,0.0
46,38.0,3503307,Araras,SP,644.831,0.0,0.0,0.0,0.0,0.0,0.0
47,39.0,3503356,Arco-Ãris,SP,264.904,0.0,0.0,0.0,0.0,0.0,0.0
48,40.0,3503406,Arealva,SP,506.226,0.0,0.0,0.0,0.0,0.0,0.0
49,41.0,3503505,Areias,SP,305.227,0.013480808423913044,0.0,0.1123046875,0.6201171875,0.029051437066578832,0.0
50,42.0,3503604,AreiÃ³polis,SP,85.907,0.0,0.0,0.0,0.0,0.0,0.0
51,43.0,3503703,Ariranha,SP,132.624,0.0,0.0,0.0,0.0,0.0,0.0
52,44.0,3503802,Artur Nogueira,SP,178.026,0.0,0.0,0.0,0.0,0.0,0.0
53,45.0,3503901,ArujÃ¡,SP,96.167,0.0,0.0,0.0,0.0,0.0,0.0
54,54.0,3504701,Balbinos,SP,91.635,0.0,0.0,0.0,0.0,0.0,0.0
55,83.0,3507308,BoracÃ©ia,SP,122.11,0.0,0.0,0.0,0.0,0.0,0.0
56,84.0,3507407,Borborema,SP,552.256,0.0,0.0,0.0,0.0,0.0,0.0
57,85.0,3507456,Borebi,SP,347.989,0.0,0.0,0.0,0.0,0.0,0.0
58,86.0,3507506,Botucatu,SP,1482.642,0.0,0.0,0.0,0.0,0.0,0.0
59,87.0,3507605,BraganÃ§a Paulista,SP,512.584,0.0,0.0,0.0,0.0,0.0,0.0
60,55.0,3504800,BÃ¡lsamo,SP,149.881,0.0,0.0,0.0,0.0,0.0,0.0
61,56.0,3504909,Bananal,SP,616.429,0.02820806393678161,0.0,0.1435546875,2.4541015625,0.0409526172635808,0.0
62,57.0,3505005,BarÃ£o de Antonina,SP,153.142,0.0,0.0,0.0,0.0,0.0,0.0
63,58.0,3505104,Barbosa,SP,205.212,0.0,0.0,0.0,0.0,0.0,0.0
64,59.0,3505203,Bariri,SP,444.405,0.0,0.0,0.0,0.0,0.0,0.0
65,88.0,3507704,BraÃºna,SP,195.176,0.0,0.0,0.0,0.0,0.0,0.0
66,60.0,3505302,Barra Bonita,SP,150.121,0.0,0.0,0.0,0.0,0.0,0.0
67,61.0,3505351,Barra do ChapÃ©u,SP,405.681,0.0,0.0,0.0,0.0,0.0,0.0
68,62.0,3505401,Barra do Turvo,SP,1007.684,0.0,0.0,0.0,0.0,0.0,0.0
69,63.0,3505500,Barretos,SP,1566.161,0.0,0.0,0.0,0.0,0.0,0.0
70,64.0,3505609,Barrinha,SP,146.025,0.0,0.0,0.0,0.0,0.0,0.0
71,65.0,3505708,Barueri,SP,65.701,0.0,0.0,0.0,0.0,0.0,0.0
72,66.0,3505807,Bastos,SP,170.912,0.0,0.0,0.0,0.0,0.0,0.0
73,67.0,3505906,Batatais,SP,849.526,0.0,0.0,0.0,0.0,0.0,0.0
74,68.0,3506003,Bauru,SP,667.684,0.0,0.0,0.0,0.0,0.0,0.0
75,69.0,3506102,Bebedouro,SP,683.192,0.0,0.0,0.0,0.0,0.0,0.0
76,70.0,3506201,Bento de Abreu,SP,301.687,0.0,0.0,0.0,0.0,0.0,0.0
77,71.0,3506300,Bernardino de Campos,SP,244.158,0.0,0.0,0.0,0.0,0.0,0.0
78,72.0,3506359,Bertioga,SP,491.546,0.029426125919117647,0.0,0.09375,2.0009765625,0.02426823660038502,0.0234375
79,73.0,3506409,Bilac,SP,158.025,0.0,0.0,0.0,0.0,0.0,0.0
80,74.0,3506508,Birigui,SP,530.031,0.0,0.0,0.0,0.0,0.0,0.0
81,75.0,3506607,Biritiba Mirim,SP,317.406,0.0012051196808510638,0.0,0.0146484375,0.056640625,0.002878773896628656,0.0
82,76.0,3506706,Boa EsperanÃ§a do Sul,SP,690.748,0.0,0.0,0.0,0.0,0.0,0.0
83,77.0,3506805,Bocaina,SP,363.926,0.0,0.0,0.0,0.0,0.0,0.0
84,78.0,3506904,Bofete,SP,653.541,0.0,0.0,0.0,0.0,0.0,0.0
85,79.0,3507001,Boituva,SP,248.954,0.0,0.0,0.0,0.0,0.0,0.0
86,80.0,3507100,Bom Jesus dos PerdÃµes,SP,108.366,0.0,0.0,0.0,0.0,0.0,0.0
87,113.0,3509908,CananÃ©ia,SP,1237.354,5.455656424581006e-06,0.0,0.0009765625,0.0009765625,7.278753526605235e-05,0.0
88,81.0,3507159,Bom Sucesso de ItararÃ©,SP,133.578,0.0,0.0,0.0,0.0,0.0,0.0
89,82.0,3507209,BorÃ¡,SP,118.951,0.0,0.0,0.0,0.0,0.0,0.0
90,175.0,3515301,Estrela do Norte,SP,264.987,0.0,0.0,0.0,0.0,0.0,0.0
91,89.0,3507753,Brejo Alegre,SP,105.689,0.0,0.0,0.0,0.0,0.0,0.0
92,90.0,3507803,Brodowski,SP,278.458,0.0,0.0,0.0,0.0,0.0,0.0
93,91.0,3507902,Brotas,SP,1101.373,0.0,0.0,0.0,0.0,0.0,0.0
94,92.0,3508009,Buri,SP,1196.463,0.0,0.0,0.0,0.0,0.0,0.0
95,93.0,3508108,Buritama,SP,326.921,0.0,0.0,0.0,0.0,0.0,0.0
96,94.0,3508207,Buritizal,SP,266.42,0.0,0.0,0.0,0.0,0.0,0.0
97,95.0,3508306,CabrÃ¡lia Paulista,SP,239.974,0.0,0.0,0.0,0.0,0.0,0.0
98,96.0,3508405,CabreÃºva,SP,260.234,0.0,0.0,0.0,0.0,0.0,0.0
99,97.0,3508504,CaÃ§apava,SP,368.99,0.0,0.0,0.0,0.0,0.0,0.0
100,98.0,3508603,Cachoeira Paulista,SP,287.99,0.0,0.0,0.0,0.0,0.0,0.0
101,99.0,3508702,Caconde,SP,468.214,0.0,0.0,0.0,0.0,0.0,0.0
102,100.0,3508801,CafelÃ¢ndia,SP,920.28,0.0,0.0,0.0,0.0,0.0,0.0
103,101.0,3508900,Caiabu,SP,253.352,0.0,0.0,0.0,0.0,0.0,0.0
104,102.0,3509007,Caieiras,SP,97.642,0.0,0.0,0.0,0.0,0.0,0.0
105,103.0,3509106,CaiuÃ¡,SP,551.159,0.0,0.0,0.0,0.0,0.0,0.0
106,104.0,3509205,Cajamar,SP,131.386,0.0,0.0,0.0,0.0,0.0,0.0
107,105.0,3509254,Cajati,SP,454.436,0.0,0.0,0.0,0.0,0.0,0.0
108,106.0,3509304,Cajobi,SP,176.929,0.0,0.0,0.0,0.0,0.0,0.0
109,107.0,3509403,Cajuru,SP,660.088,0.0,0.0,0.0,0.0,0.0,0.0
110,108.0,3509452,Campina do Monte Alegre,SP,184.479,0.0,0.0,0.0,0.0,0.0,0.0
111,109.0,3509502,Campinas,SP,794.571,0.0,0.0,0.0,0.0,0.0,0.0
112,110.0,3509601,Campo Limpo Paulista,SP,79.403,0.0,0.0,0.0,0.0,0.0,0.0
113,111.0,3509700,Campos do JordÃ£o,SP,289.981,0.0,0.0,0.0,0.0,0.0,0.0
114,112.0,3509809,Campos Novos Paulista,SP,484.199,0.0,0.0,0.0,0.0,0.0,0.0
115,114.0,3509957,Canas,SP,53.261,0.0,0.0,0.0,0.0,0.0,0.0
116,115.0,3510005,CÃ¢ndido Mota,SP,595.811,0.0,0.0,0.0,0.0,0.0,0.0
117,116.0,3510104,CÃ¢ndido Rodrigues,SP,70.892,0.0,0.0,0.0,0.0,0.0,0.0
118,181.0,3515707,Ferraz de Vasconcelos,SP,29.547,0.0,0.0,0.0,0.0,0.0,0.0
119,182.0,3515806,Flora Rica,SP,224.711,0.0,0.0,0.0,0.0,0.0,0.0
120,183.0,3515905,Floreal,SP,204.236,0.0,0.0,0.0,0.0,0.0,0.0
121,184.0,3516002,FlÃ³rida Paulista,SP,524.138,0.0,0.0,0.0,0.0,0.0,0.0
122,117.0,3510153,Canitar,SP,57.459,0.0,0.0,0.0,0.0,0.0,0.0
123,118.0,3510203,CapÃ£o Bonito,SP,1640.229,0.0,0.0,0.0,0.0,0.0,0.0
124,119.0,3510302,Capela do Alto,SP,169.89,0.0,0.0,0.0,0.0,0.0,0.0
125,120.0,3510401,Capivari,SP,322.878,0.0,0.0,0.0,0.0,0.0,0.0
126,121.0,3510500,Caraguatatuba,SP,484.947,0.133056640625,0.009765625,0.240234375,9.580078125,0.06689091755433405,0.12353515625
127,122.0,3510609,CarapicuÃ­ba,SP,34.546,0.0,0.0,0.0,0.0,0.0,0.0
128,123.0,3510708,Cardoso,SP,639.248,0.0,0.0,0.0,0.0,0.0,0.0
129,124.0,3510807,Casa Branca,SP,864.225,0.0,0.0,0.0,0.0,0.0,0.0
130,125.0,3510906,CÃ¡ssia dos Coqueiros,SP,191.683,0.0,0.0,0.0,0.0,0.0,0.0
131,126.0,3511003,Castilho,SP,1065.318,0.0,0.0,0.0,0.0,0.0,0.0
132,127.0,3511102,Catanduva,SP,290.596,0.0,0.0,0.0,0.0,0.0,0.0
133,190.0,3516606,GÃ¡lia,SP,355.914,0.0,0.0,0.0,0.0,0.0,0.0
134,191.0,3516705,GarÃ§a,SP,555.807,0.0,0.0,0.0,0.0,0.0,0.0
135,192.0,3516804,GastÃ£o Vidigal,SP,180.569,0.0,0.0,0.0,0.0,0.0,0.0
136,193.0,3516853,GaviÃ£o Peixoto,SP,243.766,0.0,0.0,0.0,0.0,0.0,0.0
137,194.0,3516903,General Salgado,SP,494.376,0.0,0.0,0.0,0.0,0.0,0.0
138,195.0,3517000,Getulina,SP,676.755,0.0,0.0,0.0,0.0,0.0,0.0
139,196.0,3517109,GlicÃ©rio,SP,272.8,0.0,0.0,0.0,0.0,0.0,0.0
140,197.0,3517208,GuaiÃ§ara,SP,277.154,0.0,0.0,0.0,0.0,0.0,0.0
141,198.0,3517307,GuaimbÃª,SP,217.811,0.0,0.0,0.0,0.0,0.0,0.0
142,199.0,3517406,GuaÃ­ra,SP,1258.465,0.0,0.0,0.0,0.0,0.0,0.0
143,200.0,3517505,GuapiaÃ§u,SP,325.126,0.0,0.0,0.0,0.0,0.0,0.0
144,201.0,3517604,Guapiara,SP,408.292,0.0,0.0,0.0,0.0,0.0,0.0
145,202.0,3517703,GuarÃ¡,SP,362.183,0.0,0.0,0.0,0.0,0.0,0.0
146,203.0,3517802,GuaraÃ§aÃ­,SP,569.197,0.0,0.0,0.0,0.0,0.0,0.0
147,204.0,3517901,Guaraci,SP,641.501,0.0,0.0,0.0,0.0,0.0,0.0
148,128.0,3511201,CatiguÃ¡,SP,148.393,0.0,0.0,0.0,0.0,0.0,0.0
149,129.0,3511300,Cedral,SP,197.838,0.0,0.0,0.0,0.0,0.0,0.0
150,130.0,3511409,Cerqueira CÃ©sar,SP,511.621,0.0,0.0,0.0,0.0,0.0,0.0
151,131.0,3511508,Cerquilho,SP,127.803,0.0,0.0,0.0,0.0,0.0,0.0
152,132.0,3511607,CesÃ¡rio Lange,SP,190.392,0.0,0.0,0.0,0.0,0.0,0.0
153,133.0,3511706,Charqueada,SP,175.846,0.0,0.0,0.0,0.0,0.0,0.0
154,134.0,3511904,Clementina,SP,168.59,0.0,0.0,0.0,0.0,0.0,0.0
155,135.0,3512001,Colina,SP,422.303,0.0,0.0,0.0,0.0,0.0,0.0
156,136.0,3512100,ColÃ´mbia,SP,728.648,0.0,0.0,0.0,0.0,0.0,0.0
157,137.0,3512209,Conchal,SP,182.793,0.0,0.0,0.0,0.0,0.0,0.0
158,138.0,3512308,Conchas,SP,466.12,0.0,0.0,0.0,0.0,0.0,0.0
159,213.0,3518800,Guarulhos,SP,318.675,0.0,0.0,0.0,0.0,0.0,0.0
160,214.0,3518859,GuataparÃ¡,SP,413.567,0.0,0.0,0.0,0.0,0.0,0.0
161,215.0,3518909,GuzolÃ¢ndia,SP,252.477,0.0,0.0,0.0,0.0,0.0,0.0
